composer,nationality,key,year,info,npvi,meter
Bach,German,b-,1717,98.7316,19.0842,2/2
Bach,German,b-,1738,110.602,33.7545,3/2
Bach,German,b-,1738,132.49,30.4348,6/16
Bach,German,b-e-a-d-,1738,70.4386,33.3333,2/4
Bach,German,b-e-a-d-,1738,96.0391,10.5263,2/4
Bach,German,f#c#g#d#a#e#,1738,98.0391,97.5312,3/4
Bach,German,f#c#g#d#a#e#,1738,100.039,37.8483,2/2
Bach,German,f#c#g#,1738,125.851,14.4412,3/4
Bach,German,f#c#g#,1738,98.0391,75.6825,4/4
Bach,German,f#,1738,92.8722,0,3/4
Bach,German,f#,1738,116.517,0,3/8
Bach,German,b-,1717,34.0537,50.8333,3/4
Bach,German,b-e-,1738,71.0587,98.7075,4/4
Bach,German,b-e-,1738,118.842,29.5238,3/4
Bach,German,b-e-a-d-,1738,76.7549,91.3165,3/4
Bach,German,b-e-a-d-,1738,102.587,23.3333,4/4
Bach,German,f#c#g#d#a#,1738,76.7106,0,4/4
Bach,German,f#c#g#d#a#,1738,121.272,0,6/8
Bach,German,f#c#g#,1738,131.207,26.087,12/8
Bach,German,f#c#g#,1738,112.096,22.2222,4/4
Bach,German,b-,1717,73.7528,27.2727,2/4
Bach,German,b-e-,1738,71.9557,29.3333,12/16
Bach,German,b-e-,1738,109.987,2.77778,3/4
Bach,German,b-e-a-d-g-,1738,51.8485,6.06061,2/2
Bach,German,b-e-a-d-g-,1738,116.606,22.5397,3/2
Bach,German,f#c#g#d#a#,1738,146.49,18.1973,4/4
Bach,German,f#c#g#d#a#,1738,57.8772,24.2424,4/4
Bach,German,f#c#,1738,84.5977,7.40741,2/2
Bach,German,f#c#,1738,137.304,8,3/8
Bach,German,b-e-a-,1770,93.2325,41.3968,4/4
Bach,German,f#,1711,96.8722,33.3333,2/2
Bach,German,f#,1711,82.5321,9.52381,12/8
Bach,German,f#c#,1750,121.597,14.5455,2/2
Bach,German,f#c#,1750,152.465,64.6667,9/8
Bach,German,f#c#,1750,150.015,24.6667,6/8
Bach,German,f#,1720,112.716,24.9275,3/8
Bach,German,b-e-a-,1778,104.996,36.9697,3/4
Bach,German,f#,1720,64.1739,14.2857,3/4
Bach,German,f#,1720,74.2387,25.5238,2/2
Bach,German,f#c#,1720,83.553,2.66667,4/4
Bach,German,f#c#,1720,88.1075,66.6138,4/4
Bach,German,f#c#,1720,45.303,42.8569,2/4
Bach,German,b-e-,1708,111.851,53.3333,2/2
Bach,German,b-e-,1708,91.287,36.1905,3/2
Bach,German,b-e-a-,1770,85.2842,89.1005,2/4
Bach,German,b-e-,1708,69.69,3.0303,12/8
Beethoven,German,b-e-a-d-,1795,132.881,55.1208,4/4
Beethoven,German,b-e-a-d-,1795,104.872,46.3131,4/4
Beethoven,German,b-e-,1798,110.602,68.6453,4/4
Beethoven,German,b-e-,1798,75.4838,37.3333,4/4
Beethoven,German,b-e-a-,1798,45.8772,50.2469,3/4
Beethoven,German,b-e-,1798,85.287,47.0588,6/8
Beethoven,German,b-e-a-,1803,52.732,60.1905,2/2
Beethoven,German,b-e-a-,1803,62.3038,43.7363,2/2
Beethoven,German,f#c#g#d#,1803,80.2387,65.7871,3/8
Beethoven,German,b-e-a-,1803,72.7106,20.9524,2/4
Beethoven,German,f#,1807,80.2387,26.6667,4/4
Beethoven,German,f#,1807,96.4295,64.2832,4/4
Beethoven,German,f#,1807,64.732,88.254,2/4
Bach,German,b-,1735,95.3415,40.6349,2/2
Beethoven,German,f#,1807,69.287,32.5,2/4
Beethoven,German,f#,1807,88.4295,43.1373,2/4
Beethoven,German,f#,1807,123.58,38.3371,2/4
Beethoven,German,b-e-a-,1809,59.2451,56.8885,4/4
Beethoven,German,b-e-a-,1809,56.8289,25.7778,4/4
Beethoven,German,f#c#g#d#a#,1809,91.8317,29.3651,4/4
Beethoven,German,b-e-a-,1809,126.127,71.8129,6/8
Beethoven,German,b-e-a-,1809,67.101,72.5275,6/8
Beethoven,German,f#c#,1806,76.3904,40.5128,4/4
Beethoven,German,f#c#,1806,65.101,33.8462,4/4
Bach,German,b-e-,1735,94.382,11.4286,6/4
Beethoven,German,f#,1806,114.517,78.6195,4/4
Beethoven,German,f#c#,1806,80.0419,29.6296,6/8
Beethoven,German,f#c#,1806,82.2387,22.6667,6/8
Beethoven,German,b-e-a-,1825,80.4751,43.3333,2/4
Beethoven,German,f#,1805,59.9557,110.606,3/4
Beethoven,German,f#,1805,138.855,0,3/4
Beethoven,German,b-e-a-,1807,75.6821,12.6984,4/4
Beethoven,German,b-e-a-,1807,46.9937,40.7407,4/4
Bach,German,b-,1735,79.6746,13.3333,3/4
Beethoven,German,b-e-a-d-,1809,66.9288,102.256,3/2
Beethoven,German,b-e-a-d-,1809,115.58,9.52381,3/4
Beethoven,German,f#c#g#d#,1814,70.074,78.381,2/2
Beethoven,German,f#c#g#d#,1814,38.9575,0,2/2
Beethoven,German,f#c#g#d#,1814,116.772,31.746,2/2
Bach,German,f#c#,1735,74.0419,36.4286,4/4
Beethoven,German,b-,1798,126.814,68.5714,3/4
Beethoven,German,b-,1798,106.602,68.0952,3/4
Beethoven,German,b-,1798,88.1075,46.4162,9/8
Beethoven,German,b-,1798,96.0766,77.6496,3/4
Beethoven,German,b-,1798,75.9557,11.9037,2/4
Beethoven,German,f#,1798,97.3415,80.3535,2/4
Bach,German,f#c#,1735,74.5321,16.6667,3/4
Beethoven,German,f#,1798,92.4323,23.1373,2/4
Beethoven,German,b-,1798,49.303,40,2/4
Beethoven,German,f#,1798,104.341,65.3333,3/4
Beethoven,German,f#,1798,52.3904,41.0582,2/4
Beethoven,German,f#,1798,80.2114,41.8674,2/4
Beethoven,German,f#c#,1798,89.2207,35.4684,2/2
Beethoven,German,b-e-,1798,88.4323,15.6863,2/4
Beethoven,German,f#c#,1798,92.9963,36.8627,3/4
Bach,German,f#c#,1735,71.4838,18.75,3/8
Beethoven,German,f#c#,1798,99.3415,3.33333,6/8
Beethoven,German,f#c#,1798,78.4979,66.6667,6/8
Beethoven,German,b-e-a-,1798,57.2451,51.7591,4/4
Beethoven,German,b-e-a-,1798,94.0391,62.6901,4/4
Beethoven,German,b-e-a-,1798,45.303,73.6111,3/4
Beethoven,German,b-e-a-,1798,107.851,7.24638,2/2
Beethoven,German,b-e-a-,1798,54,30.6667,2/2
Beethoven,German,f#c#g#,1798,56.732,52.1212,6/8
Bach,German,b-e-a-,1770,72.3904,54.8251,6/8
Bach,German,f#c#g#,1735,77.4838,26.6667,4/4
Beethoven,German,f#c#g#,1798,75.4838,69.1667,6/8
Beethoven,German,f#c#g#,1798,58.446,34.127,3/4
Beethoven,German,f#c#,1798,65.101,33.3333,2/4
Beethoven,German,f#c#g#,1798,110.951,17.3913,2/2
Beethoven,German,f#c#g#,1798,81.5098,24.4156,2/2
Beethoven,German,b-e-,1798,96.4295,58.0627,2/2
Beethoven,German,b-e-,1798,66.4386,105.357,2/2
Beethoven,German,b-e-a-,1798,107.457,5.45455,2/4
Beethoven,German,b-e-,1798,82.4868,23.5294,3/4
Beethoven,German,b-e-,1798,67.101,72.2222,2/4
Beethoven,German,b-e-,1798,98.7017,0,3/8
