file	part	entropy	npvi	meter	file	part	sus	lnt	unt	ant
chor165.krn	 1	 4.59347	 29.9074	 *M4/4	chor165.hrm	 4	 1	 0	 0	 0
chor165.krn	 2	 4.60388	 42.9497	 *M4/4	chor165.hrm	 4	 4	 0	 0	 0
chor165.krn	 3	 5.07774	 41.531	 *M4/4	chor165.hrm	 4	 9	 3	 0	 0
chor165.krn	 4	 3.55562	 17.6271	 *M4/4	chor165.hrm	 4	 0	 0	 0	 2
chor176.krn	 1	 4.6443	 44.8148	 *M3/4	chor176.hrm	 4	 0	 0	 0	 0
chor176.krn	 2	 4.4286	 42.2476	 *M3/4	chor176.hrm	 4	 0	 0	 1	 0
chor176.krn	 3	 4.71914	 60.5483	 *M3/4	chor176.hrm	 4	 10	 2	 0	 0
chor176.krn	 4	 3.75219	 57.5439	 *M3/4	chor176.hrm	 4	 0	 0	 0	 0
chor177.krn	 1	 4.45195	 21.4815	 *M4/4	chor177.hrm	 4	 0	 1	 1	 0
chor177.krn	 2	 3.94335	 24.4444	 *M4/4	chor177.hrm	 4	 3	 0	 1	 0
chor177.krn	 3	 4.28841	 40.5013	 *M4/4	chor177.hrm	 4	 1	 0	 0	 0
chor177.krn	 4	 3.79137	 29.2982	 *M4/4	chor177.hrm	 4	 0	 2	 0	 0
chor183.krn	 1	 4.29923	 27.3964	 *M4/4	chor183.hrm	 4	 0	 0	 0	 0
chor183.krn	 2	 4.46741	 40.5819	 *M4/4	chor183.hrm	 4	 5	 0	 0	 0
chor183.krn	 3	 4.74878	 41.6593	 *M4/4	chor183.hrm	 4	 5	 1	 0	 0
chor183.krn	 4	 3.45928	 8.30409	 *M4/4	chor183.hrm	 4	 0	 0	 0	 0
chor187.krn	 1	 4.04426	 14.3434	 *M4/4	chor187.hrm	 4	 1	 0	 0	 0
chor187.krn	 2	 4.46048	 28.9621	 *M4/4	chor187.hrm	 4	 3	 1	 0	 0
chor187.krn	 3	 4.76315	 42.5898	 *M4/4	chor187.hrm	 4	 5	 0	 0	 0
chor187.krn	 4	 3.62631	 8.60215	 *M4/4	chor187.hrm	 4	 0	 0	 0	 0
chor200.krn	 1	 4.6702	 25.9259	 *M4/4	chor200.hrm	 4	 0	 0	 0	 0
