"","major_pitches","major_durations"
"737","C5",0.25
"738","B4",0.25
"739","D5",0.25
"740","B4",0.25
"741","D5",0.25
"742","B4",0.5
"743","A4",0.25
"744","G4",0.25
"745","A4",0.25
"746","B4",0.25
"747","C5",0.25
"748","D5",0.25
"749","B4",0.25
"750","G4",0.25
"751","A4",0.25
"752","F#4",0.25
"753","G4",1
"754","G5",1
"755","B4",2
"756","B4",2
"757","C5",0
"758","B4",1
"759","C5",0
"760","B4",1
"761","B4",1
"762","B4",0.75
"763","D5",0.25
"764","D5",0.25
"765","C5",0.25
"766","C5",0.25
"767","B4",0.25
"768","B4",0.75
"769","D5",0.25
"770","D5",0.25
"771","C5",0.25
"772","C5",0.25
"773","B4",0.25
"774","B4",0.75
"775","D5",0.25
"776","D5",0.25
"777","C5",0.25
"778","C5",0.25
"779","B4",0.25
"780","B4",0.25
"781","A4",0.25
"782","A4",0.25
"783","G4",0.25
"784","A4",0.25
"785","B4",0.25
"786","G4",1
"787","D4",0.167
"788","G4",0.167
"789","A4",0.167
"790","A4",0.25
"791","B4",0.25
"792","G4",1
"793","D4",0.5
"794","A4",0.5
"795","B4",0.5
"796","G4",0.5
"797","B4",0.125
"798","A4",0.125
"799","B4",0.125
"800","A4",0.125
"801","G4",0.5
"802","B4",0.5
"803","G4",0.5
"804","B4",0.125
"805","A4",0.125
"806","B4",0.125
"807","A4",0.125
"808","G4",0.5
"809","B4",0.25
"810","G4",0.25
"811","B4",0.25
"812","D5",0.25
"813","C5",0.25
"814","B4",0.25
"815","C5",0.25
"816","E5",0.25
"817","D5",0.167
"818","E5",0.167
"819","D5",0.167
"820","G5",0.5
"821","D5",0.167
"822","E5",0.167
"823","D5",0.167
"824","G5",0.5
"825","B4",0.5
"826","G4",0.5
"827","B4",0.125
"828","A4",0.125
"829","B4",0.125
"830","A4",0.125
"831","G4",0.5
"832","B4",0.25
"833","G4",0.25
"834","B4",0.25
"835","G4",0.25
"836","B4",0.125
"837","A4",0.125
"838","B4",0.125
"839","A4",0.125
"840","G4",0.5
"841","B4",0.5
"842","D5",0.5
"843","D5",0.25
"844","C5",0.25
"845","B4",0.25
"846","A4",0.25
"847","G4",1
"848","G4",0.5
"849","B4",0.5
"850","G4",0.5
"851","B4",0.125
"852","A4",0.125
"853","B4",0.125
"854","A4",0.125
"855","G4",0.5
"856","B4",0.25
"857","G4",0.25
"858","B4",0.25
"859","G4",0.25
"860","A4",0.167
"861","B4",0.167
"862","A4",0.167
"863","G4",0.5
"864","B4",0.25
"865","G4",0.25
"866","B4",0.25
"867","D5",0.25
"868","C5",0.25
"869","B4",0.25
"870","C5",0.25
"871","E5",0.25
"872","D5",0.1
"873","E5",0.1
"874","D5",0.1
"875","E5",0.1
"876","D5",0.1
"877","G5",0.5
"878","D5",0.5
"879","G5",0.5
"880","B4",0.5
"881","G4",0.5
"882","A4",0.167
"883","B4",0.167
"884","A4",0.167
"885","G4",0.5
"886","B4",0.25
"887","G4",0.25
"888","B4",0.25
"889","G4",0.25
"890","A4",0.167
"891","B4",0.167
"892","A4",0.167
"893","G4",0.5
"894","B4",0.5
"895","D5",0.5
"896","D5",0.25
"897","C5",0.25
"898","B4",0.25
"899","A4",0.25
"900","G4",1
"901","D5",0.5
"902","D4",0.5
"903","G4",0.25
"904","A4",0.25
"905","B4",0.5
"906","B4",0.5
"907","B4",0.25
"908","D5",0.25
"909","C5",0.5
"910","C5",0.75
"911","B4",0.25
"912","B4",0.25
"913","D5",0.25
"914","C5",0.5
"915","C5",0.5
"916","B4",0.25
"917","A4",0.25
"918","A4",0.25
"919","D5",0.25
"920","B4",1.5
"921","D4",0.5
"922","G4",0.25
"923","A4",0.25
"924","B4",0.5
"925","B4",0.5
"926","B4",0.25
"927","D5",0.25
"928","C5",0.5
"929","C5",0.75
"930","B4",0.25
"931","B4",0.25
"932","D5",0.25
"933","C5",0.5
"934","B4",0.5
"935","A4",0.25
"936","G4",0.25
"937","A4",0.25
"938","B4",0.25
