Composer,Title,Attribution Level,Genre,nPVI_Entire,Nine_Eight,pitch_correlation,pitch_entropy,parallel_motion,similar_motion,oblique_motion,FILENAME
Bach_Johann Sebastian,chor024.krn,NA,chorale,58.3512,0,0.398905765327359,5.43664,0.25,26.15,50.13,chor024.krn,7.583,4.265,0.474,1.422,0.948,5.213,4.739,1.896,5.213,0.948,0.948,0.948,5.687,2.844,3.318,1.422,0.474,1.422,4.265,0.948,4.739,0.474,2.844,0.948,5.687,4.265,3.318,0.948,0.474,0.474,0.474,4.265,2.844,3.318,3.791,0.474,1.422,4.265
Bach_Johann Sebastian,chor025.krn,NA,chorale,99.3558,0,0.0560981891036249,4.24028,0.253333333333333,20.39,53.91,chor025.krn,2.073,3.627,0.518,0.518,7.772,4.145,1.554,3.627,0.518,1.036,4.663,6.736,4.145,0.518,1.036,0.518,0.518,3.627,1.036,5.699,0.518,2.073,0.518,5.699,5.181,4.145,1.036,0.518,0.518,5.699,3.109,5.699,0.518,1.554,1.554,4.145,3.627
Bach_Johann Sebastian,chor026.krn,NA,chorale,106.541,0,0.721935563696426,4.7187,0.216666666666667,26.25,46.51,chor026.krn,5.587,3.911,1.117,1.117,2.235,1.117,3.911,3.911,2.235,5.587,1.117,0.559,1.117,4.469,2.235,6.145,1.117,1.676,6.145,0.559,6.704,3.911,1.117,1.117,5.587,3.352,3.352,0.559,1.676,2.793,1.676,3.352,3.911,0.559,1.117,1.676,1.676
Bach_Johann Sebastian,chor027.krn,NA,chorale,102.299,1,0.397894155066816,4.91186,0.238805970149254,20.73,51.22,chor027.krn,5.405,5.405,2.162,2.162,0.541,7.568,6.486,3.784,3.784,1.622,0.541,4.865,1.622,2.703,1.081,0.541,1.081,4.865,0.541,3.243,4.324,4.324,8.108,2.162,0.541,3.243,4.324,6.486,1.081,0.541,4.324,0.541
Bach_Johann Sebastian,chor028.krn,NA,chorale,101.154,1,-0.065621627020314,4.83255,0.388888888888889,27.55,46.79,chor028.krn,6.164,6.164,0.685,1.37,0.685,6.164,8.219,3.425,1.37,0.685,6.164,1.37,4.11,1.37,2.055,7.534,4.795,2.74,2.055,6.849,1.37,3.425,0.685,4.11,4.11,3.425,1.37,0.685,2.055,2.74,2.055
Bach_Johann Sebastian,chor029.krn,NA,chorale,103.889,0,0.537842192948302,4.8449,0.289473684210526,27.91,44.99,chor029.krn,5.687,5.213,0.948,0.948,1.896,0.474,7.109,4.739,0.474,5.213,0.948,0.948,0.948,5.213,0.474,4.739,1.422,0.474,0.474,4.739,5.213,3.318,0.474,0.474,5.213,6.635,4.265,0.474,0.474,3.791,4.739,6.635,0.948,0.474,3.791
Bach_Johann Sebastian,chor030.krn,NA,chorale,105.741,0,0.59199730772978,5.02724,0.234567901234568,24.54,49.61,chor030.krn,2.913,2.913,2.913,1.456,0.485,7.767,4.369,0.971,2.913,0.971,0.485,0.971,5.34,4.854,2.913,1.456,0.971,1.456,5.825,4.369,3.883,7.282,1.942,4.369,0.485,0.485,0.971,5.825,0.485,3.398,5.825,0.971,1.456,5.34,0.971
Bach_Johann Sebastian,chor031.krn,NA,chorale,96.1765,0,0.764511303529679,5.3574,0.28169014084507,27.7,45.71,chor031.krn,1.478,4.926,0.493,1.478,0.493,0.493,5.419,3.941,5.419,0.493,0.985,0.985,1.478,5.419,3.941,4.926,0.985,0.493,0.985,0.985,4.433,0.493,5.911,1.478,3.448,0.493,0.493,4.433,1.478,4.926,0.493,0.493,1.478,4.926,0.493,3.941,3.448,1.97,0.985,1.97,4.433,1.97
Bach_Johann Sebastian,chor032.krn,NA,chorale,45.669,0,0.360180132200955,4.89891,0.117647058823529,21.04,58.54,chor032.krn,5.882,5.294,1.176,2.353,1.765,4.706,4.118,2.941,5.294,0.588,1.765,1.765,4.118,2.353,5.294,0.588,0.588,0.588,2.353,4.706,0.588,2.941,2.941,0.588,0.588,2.353,10,3.529,0.588,1.176,1.765,2.353,2.353,2.353,4.118,1.765,1.765
Bach_Johann Sebastian,chor033.krn,NA,chorale,81.6374,0,0.615128941410433,5.38985,0.333333333333333,22.09,51.84,chor033.krn,3.39,3.39,0.565,2.26,2.26,0.565,7.345,4.52,1.695,2.825,0.565,1.695,5.65,1.13,3.39,0.565,1.13,0.565,6.215,1.13,3.955,1.13,5.65,4.52,5.085,3.955,0.565,0.565,6.78,2.26,6.215,0.565,1.695,1.13,3.955,1.13
Bach_Johann Sebastian,chor034.krn,NA,chorale,82.6241,1,0.856218729803909,5.44008,0.280373831775701,21.1,54.75,chor034.krn,4.211,3.86,0.702,2.105,0.702,4.912,4.912,2.105,2.456,0.351,0.351,1.053,1.053,4.211,1.754,3.509,0.702,2.456,0.702,0.702,6.316,3.509,2.456,1.404,0.702,0.702,0.351,4.211,0.351,4.912,1.053,1.053,1.404,1.053,7.018,4.211,3.509,3.86,1.404,0.351,5.263,2.105
Bach_Johann Sebastian,chor035.krn,NA,chorale,105.212,0,0.524339069043366,4.74338,0.305084745762712,22.41,51.84,chor035.krn,3.593,4.79,0.599,0.599,1.796,4.79,4.79,2.994,6.587,0.599,1.198,0.599,0.599,5.389,0.599,5.988,0.599,1.198,1.796,4.192,5.988,4.79,1.796,4.192,7.784,2.994,0.599,4.192,4.192,2.994,0.599,1.198,0.599,4.192,0.599
Bach_Johann Sebastian,chor036.krn,NA,chorale,87.193,0,0.27058686089115,5.24134,0.3125,26.68,43.39,chor036.krn,2.193,5.702,1.754,1.316,0.877,1.316,6.579,5.263,1.754,4.386,0.439,1.754,2.632,4.386,0.877,3.947,0.877,0.877,0.439,1.316,4.825,1.754,3.509,4.825,1.316,3.947,4.825,2.632,0.439,0.439,0.439,5.263,1.316,3.947,4.386,0.877,0.877,5.263,0.439
Bach_Johann Sebastian,chor037.krn,NA,chorale,84.2425,0,0.621495792593583,3.81373,0.382716049382716,27.34,44.36,chor037.krn,3.376,3.376,0.422,0.844,1.688,7.173,5.485,0.844,5.063,0.422,0.422,0.422,0.422,6.751,0.844,3.797,0.422,0.422,1.266,0.422,5.907,0.844,4.641,2.11,1.688,0.844,0.844,7.173,4.219,3.797,0.422,0.844,6.329,1.688,5.907,0.844,0.844,5.063,2.11
Bach_Johann Sebastian,chor038.krn,NA,chorale,38.6886,0,0.138103733484142,4.70556,0.258064516129032,23.13,54.4,chor038.krn,4.07,2.907,2.326,0.581,0.581,1.163,6.395,6.395,2.326,4.07,1.163,2.326,0.581,4.651,0.581,3.488,0.581,1.744,1.744,2.907,0.581,5.233,2.326,2.326,1.163,4.651,4.651,2.907,1.744,1.163,1.744,5.233,1.744,2.326,4.07,1.163,1.163,4.651,0.581
Bach_Johann Sebastian,chor039.krn,NA,chorale,53.5043,0,0.553511961524387,5.56791,0.178571428571429,20.29,56.56,chor039.krn,3.493,1.747,0.437,0.873,2.62,3.93,3.493,3.057,3.493,2.62,1.31,0.437,5.677,5.677,2.62,1.31,0.437,2.183,3.493,3.057,2.183,2.62,3.057,1.31,3.057,4.803,2.62,1.747,0.437,3.493,3.93,1.31,1.747,2.62,0.873,1.747,0.437,1.747,3.93,4.367
Bach_Johann Sebastian,chor040.krn,NA,chorale,81.6667,0,0.584854922994367,4.49177,0.295454545454545,33.48,38.26,chor040.krn,2.174,6.522,0.725,2.174,1.449,7.246,6.522,3.623,4.348,3.623,4.348,2.174,0.725,0.725,2.174,1.449,5.797,4.348,1.449,1.449,6.522,7.246,2.899,0.725,4.348,2.899,7.246,0.725,0.725,2.899,0.725
Bach_Johann Sebastian,chor041.krn,NA,chorale,66.6224,0,0.708201498372255,5.1876,0.292134831460674,24.32,54.28,chor041.krn,2.41,3.213,2.811,3.213,4.418,4.819,4.016,1.205,0.402,2.008,5.622,3.213,3.213,0.402,0.402,0.402,0.402,4.819,2.41,5.622,1.606,2.008,1.205,0.402,5.622,5.622,4.418,0.402,0.402,0.402,2.41,0.803,4.016,4.418,2.41,0.803,1.205,2.41,4.418
Bach_Johann Sebastian,chor042.krn,NA,chorale,48.0053,0,0.269063977271036,4.05269,0.342105263157895,28.92,40.2,chor042.krn,4.688,3.906,0.781,1.563,2.344,0.781,4.688,3.906,2.344,4.688,0.781,0.781,0.781,4.688,2.344,1.563,2.344,1.563,5.469,1.563,3.125,3.906,0.781,5.469,7.031,5.469,0.781,0.781,4.688,4.688,5.469,3.125,2.344,0.781
