chor248.krn	*G:	7.69	5 1
chor249.krn	*G:	10.91	6 5
chor250.krn	*D:	10	1 2
chor251.krn	*g:	6.38	5 1
chor252.krn	*B-:	10.16	5 4
chor253.krn	*g:	8.2	1 5
chor254.krn	*C:	10.2	5 1
chor255.krn	*D:	8	7 1
chor256.krn	*B-:	8.06	5 1
chor257.krn	*B-:	9.09	3 4
chor258.krn	*G:	10.45	3 4
chor259.krn	*f#:	8.4	4 5
chor260.krn	*B-:	9.8	4 5
chor261.krn	*e:	13.21	1 2
chor262.krn	*g:dor	7.84	5 4
chor263.krn	*e:	10.2	3 2
chor264.krn	*B-:	10	1 7
chor265.krn	*b:	6.85	7- 6+
chor266.krn	*g:	9.43	4 5
chor267.krn	*d:	8.45	3 2
chor268.krn	*C:	7.22	3 4
chor269.krn	*g:	5.97	4 5
chor270.krn	*a:	8.51	5 6
chor271.krn	*e:	8.33	6 5
chor272.krn	*B-:	7.81	2 5
chor273.krn	*D:	8.2	3 4
chor274.krn	*F:	7.14	4 5
chor275.krn	*A:	6.38	7 1
chor276.krn	*G:	8.51	5 1
chor277.krn	*C:	5.66	6 7
chor278.krn	*E:	8.62	7 1
chor279.krn	*B-:	4.55	6 5
chor280.krn	*D:	9.09	1 7
chor281.krn	*g:	7.41	5 4
chor282.krn	*C:	10.2	5 1
chor283.krn	*e:	6.49	5 4
chor284.krn	*C:mix	7.94	5 6
chor285.krn	*a:	7.14	1 2
chor286.krn	*b:	9.09	6 5
chor287.krn	*a:	12.5	6 5
chor288.krn	*A:mix	9.09	3 4
chor289.krn	*B-:	7.27	3 2
chor290.krn	*E:	7.27	3 4
chor291.krn	*D:	8.2	1 7
chor292.krn	*d:	7.84	4 5
chor293.krn	*G:	9.76	5 1
chor294.krn	*b:	9.26	4 5
chor295.krn	*e:	11.11	5 1
chor296.krn	*C:	7.95	5 1
chor297.krn	*g:	9.33	4 5
chor298.krn	*C:	15.52	5 1
chor299.krn	*E-:	6.58	5 1
chor300.krn	*a:	6.82	1 5
chor301.krn	*g:	8.77	1 2
chor302.krn	*g:dor	7.14	5 4
chor303.krn	*F:	12.2	3 4
chor304.krn	*g:	7.84	3 2
chor305.krn	*D:	11.48	5 1
chor306.krn	*E-:	5.32	3 2
chor307.krn	*a:	8.14	6 5
chor308.krn	*A:	8.89	6 5
chor309.krn	*A-:	7.32	5 1
chor310.krn	*E:	8.33	5 1
chor311.krn	*F:	8.2	6 5
chor312.krn	*D:	7.32	3 2
chor313.krn	*G:	8.93	4 5
chor314.krn	*e:	5.17	1 7-
chor315.krn	*G:	9.43	1 1
chor316.krn	*G:	9.76	5 1
chor317.krn	*C:	9.43	6 5
chor318.krn	*A:	7.41	6 5
chor319.krn	*F:	10.71	5 1
chor320.krn	*f#:	7.41	2 3
chor321.krn	*g:	8	5 1
chor322.krn	*G:	8	1 7
chor323.krn	*F:	11.11	7 1
chor324.krn	*e:	7.41	2 1
chor325.krn	*d:dor	10.42	1 2
chor326.krn	*A:	9.09	4 3
chor327.krn	*D:	6.67	1 1
chor328.krn	*G:	8.89	1 1
chor329.krn	*G:	10	1 2
chor330.krn	*G:	8.47	5 1
chor331.krn	*b:	7.81	7- 6
chor332.krn	*a:	6.85	6 5
chor333.krn	*D:	7.79	1 7
chor334.krn	*D:	7.32	6 7
chor335.krn	*F:	7.69	7 1
chor336.krn	*b:	8	1 7-
chor337.krn	*F:	9.21	5 4
chor338.krn	*D:	8.82	1 4
chor339.krn	*a:	9.52	5 1
chor340.krn	*d:	7.41	5 5
chor341.krn	*A:	5.33	2 5
chor342.krn	*A:	10.42	5 1
chor343.krn	*D:	5.63	6 5
chor344.krn	*G:	8.33	4 5
chor345.krn	*a:	7.02	6 5
chor346.krn	*e:	6.58	3 3
chor347.krn	*G:	6	1 1
chor348.krn	*C:	9.09	5 1
chor349.krn	*b:	8.06	5 6
chor350.krn	*B-:	9.62	5 1
chor351.krn	*A:	7.32	1 1
chor352.krn	*a:	7.32	6 5
chor353.krn	*G:	8.93	4 5
chor354.krn	*G:	7.69	5 1
chor355.krn	*B-:	7.41	1 7
chor356.krn	*d:	11.54	1 2
chor357.krn	*G:mix	6.78	5 1
chor358.krn	*g:	8.62	4 5
chor359.krn	*b:	8.54	6 5
chor360.krn	*f#:	7.35	1 1
chor361.krn	*G:	7.94	7 1
chor362.krn	*G:	8	5 1
chor363.krn	*A:	9.62	3 2
chor364.krn	*b:	7.81	5 4
chor365.krn	*A:	8.77	5 1
chor366.krn	*A:	6.35	3 2
chor367.krn	*b:	7.55	6 5
chor368.krn	*F:	7.02	1 7
chor369.krn	*b-:dor	9.09	5 4
chor370.krn	*a:	7.04	3 4
chor371.krn	*e:	5.97	1 7-
