Tune	Genre	Mode	Listening/dance	Source	Source type	Source instrument or voice	Location	Date	Original location	Main Region from Appendix B	Subregion from Appendix B	Original tonality	Original tonality directional	modulation_pathway	Modulation_Measures	One_Mode	Mode notes
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski153.krn">153</a	    Freylekhs	G major	dance	"Slobodskoi, M."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	G	-	G raised fourth (i); G major (I)	5–8	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski154.krn">154</a	    Freylekhs	G major	dance	"Slobodskoi, M."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	E	Down m3	G raised fourth (i); G freygish (I)	10–25; 26–41	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski155.krn">155</a	    Freylekhs	G major	dance	"Berezin, Ia."	transcription	Clarinet	Tiraspol	1936	-	Various Cities and Towns	-	-	-	G raised fourth (k); G major (I)	11–24	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski156.krn">156</a	    Freylekhs	G major	dance	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1936	-	Kyiv	Belaia Tserkov	-	-	G raised fourth (i); G major (I)	19–29	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski157.krn">157</a	    Hopke	G major	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	D	Up P5		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski158.krn">158</a	    Freylekhs	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5	C major (IV)	17–24	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski159.krn">159</a	    Freylekhs	G major	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno				All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski160.krn">160</a	    Skotshne	G major	dance	Anonymous	transcription	-	-	-	-	Unknown	-	-	-	D major (V); G major (I)	10–18	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski162.krn">161</a	    Freylekhs	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski162.krn">162</a	    Hopke	G major	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	G	-		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski163.krn">163</a	    Skotshne	G major	dance	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1936	-	Kyiv	Belaia Tserkov	-	-		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski164.krn">164</a	    Skotshne	G major	dance	"Shteingart, Ia."	recording	Clarinet	"Bogopol, Podolia"	1913	-	Podolia	Bogopol	-	-		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski165.krn">165</a	    Freylekhs	G major	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	-	-	D	Up P5	D major (V); G major (I)	9–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski166.krn">166</a	    Freylekhs	G major	dance	"Marshak, A."	recording	Voice	Odessa	1930	-	Various Cities and Towns	Odessa	-	-	G minor (i); G raised fourth (i)	6–17; 18–21	no	"The last four measures imply a local D minor (v) or a G raised fourth mode. We have designated them as G raised fourth because the C#-F tetrachord is used in other places to pivot from G raised fourth to G major, or the reverse. "
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski167.krn">167</a	    Freylekhs	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	C	Up P4	G minor (i); G major (I)	9–12	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski168.krn">168</a	    Freylekhs	G major	dance	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	C	Up P4		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski169.krn">169</a	    Freylekhs	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski170.krn">170</a	    Freylekhs	G major	dance	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	D	Up P5		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski171.krn">171</a	    Freylekhs	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski172.krn">172</a	    Freylekhs	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski173.krn">173</a	    Freylekhs	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski174.krn">174</a	    Freylekhs	G major	dance	"Rabinovich, M. I."	transcription	Violin	Kyiv	1937	-	Kyiv	Berdichev	-	-		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski175.krn">175</a	    Freylekhs	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G raised fourth (i)	9–21	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski176.krn">176</a	    Skotshne	G major	dance	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1936	-	Kyiv	Belaia Tserkov	A	Up M2		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski177.krn">177</a	    Sher	G freygish	dance	"Ozyriansky, M."	recording	Voice	"Bobrovyi Kut, Kalinindorf, Nikolaev"	1936	Kalinindorf	Old Jewish Agricultural Colonies	Kalinindorf	-	-	C minor (iv); G freygish (I); C minor (iv); G fregyish (I)	17–20; 21–24; 25–28	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski178.krn">178</a	    Sher	G freygish	dance	"Liasko, M."	transcription	-	"Fraidorf, Crimea"	1937	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski179.krn">179</a	    Sher	G freygish	dance	"Dulitsky, B."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	G	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski180.krn">180</a	    Sher	G freygish	dance	"Mesman, V."	transcription	-	-	1912	-	Unknown	-	C	Up P4	C major (IV); D: freygish (V); G freygish (I)	17–28; 29–32	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski181.krn">181</a	    Sher	G freygish	dance	"Gulerman, Z."	recording	Flute	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	C minor (iv); G freygish (I); C minor (iv); G freygish (I); F major (VII); G freygish (I)	5–8; 9–22; 23–26; 27–40; 41–48	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski182.krn">182</a	    Sher	G freygish	dance	"Ozyriansky, M."	recording	Voice	"Bobrovyi Kut, Kalinindorf, Nikolaev"	1936	Kalinindorf	Old Jewish Agricultural Colonies	Kalinindorf	-	-	C minor (iv); G freygish (I)	9–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski183.krn">183</a	    Sher	G freygish	dance	"Dobrushin, I."	transcription	-	Kyiv	1937	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	C minor (iv); G freygish (I)	9–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski184.krn">184</a	    Sher	G raised fourth	dance	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1936	-	Kyiv	Belaia Tserkov	Bb	Up m3			yes	"Beregovski provides a G minor key signature for section B (mm. 11–18), but we identify the section as G raised fourth (no modulation). Section B begins with melodic motion from Eb to C, implying C minor (iv). This is a typical move within G raised fourth. Compare with no. 58 and see Beregovsk 1982, 551. "
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski185.krn">185</a	    Sher	G raised fourth	dance	"Laderman, I."	recording	Voice	Fastov	1929	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	G major (I); G raised fourth (i)	18–29	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski186.krn">186</a	    Sher	G raised fourth	dance	"Slobodskoi, M."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	Eb	Down M3	Bb major (III)	18–26	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski187.krn">187</a	    Sher	G minor	dance	"Avrutin, A."	recording	Voice	"Bobrovyi Kut, Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	-	-	-	Bb major (III); G minor (i)	16–28	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski188.krn">188</a	    Sher	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G raised fourth (i)	9–29	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski189.krn">189</a	    Sher	G minor	dance	"Dulitsky, B."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	Bb major (III); G minor (i); Bb major (III); C freygish (IV); G minor (i)	1–12; 13–17; 18–21; 22–25	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski190.krn">190</a	    Sher	G minor	dance	"Bergelson, D."	recording	Voice	Kyiv	1931	Uman'	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	G raised fourth (i)	15–31	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski191.krn">191</a	    Sher	G minor	dance	"Azriel, G."	recording	Voice	"Naidarovka, Novo-Zlatopolsk, Dnepropetrovsk"	1936	-	Old Jewish Agricultural Colonies	-	-	-	Bb major (III)	10–18	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski192.krn">192</a	    Sher	G minor	dance	"Cherniavsky, I."	recording	Voice	Kyiv	1935	-	Kyiv	Belaia Tserkov	-	-	Bb major (III); G minor (i); Bb major (III); G minor (i)	1–8; 9–16; 17–28	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski193.krn">193</a	    Sher	G minor	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	D	Up P5	Bb major (III); G minor (i)	28–35	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski194.krn">194</a	    Sher	G minor	dance	"Kabatskaia, G."	recording	Voice	"Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	Bb major (III); G minor (i)	11–18	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski195.krn">195</a	    Sher	G minor	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	-	-	Bb major (III); G minor (i)	9–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski196.krn">196</a	    Sher	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5	Bb major (III); G minor (i)	5–8	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski197.krn">197</a	    Sher	G minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	A	Up M2		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski198.krn">198</a	    Sher	G minor	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	D	Up P5		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski199.krn">199</a	    Sher	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2	Bb major (III); G minor (i)	10–26	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski200.krn">200</a	    Sher	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2	Bb major (III); G minor (i)	6–14	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski201.krn">201</a	    Sher	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5	Bb major (III); G minor (i)	10–13	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski202.krn">202</a	    Sher	G minor	dance	"Altman, L. "	transcription	Viola	Tiraspol	1936	-	Kyiv	Berdichev	D	Up P5	Bb major (III); G minor (i)	10–21	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski203.krn">203</a	    Sher	G major	dance	"Triplik, I."	recording	Flute	"Slavuta, Khmelnitsky"	1929	-	-	-	-	-	G raised fourth (i)	41–55	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski204.krn">204</a	    Sher	G major	dance	"Krasnyshevsky, A."	recording	Voice	"Bobrovyi Kut, Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski205.krn">205</a	    Sher	G major	dance	"Bendas, D."	transcription	-	Kyiv	1938	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski206.krn">206</a	    Plyeskun	G minor	dance	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	D	Up P5		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski207.krn">207</a	    Plyeskun	G raised fourth	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5	G minor (i); G raised fourth (i)	6–11	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski208.krn">208</a	    Plyeskun	G freygish	dance	"Mesman, V."	transcription	-	-	1912	-	Unknown	-	D	Up P5	C minor (iv); Bb major (III); G freygish (I)	10–15; 16–19	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski209.krn">209</a	    Plyeskun	G major	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	D	Up P5		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski210.krn">210</a	    Plyeskun	G major	dance	Knaifel	transcription	Bass	Vinnitsa	1937	-	Vinnitsa	-	D	Up P5		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski211.krn">211</a	    Beygele	G freygish	dance	"Mesman, V."	transcription	-	-	1912	-	-	-	G	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski212.krn">212</a	    Beygele	G minor	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	A	Up M2		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski213.krn">213</a	    Bolgarish	G freygish	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	-	-	C major (IV); G fregyish (I)	33–48	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski214.krn">214</a	    Bolgarish	G minor	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	D	Up P5	Bb major (III); G minor (i)	5–8	no	Section A plays with ambiguity and rapid shifts between G minor and Bb major. I have tagged the first phrase as G minor and the second as Bb major based on the cadences. 
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski215.krn">215</a	    Bolgarish	G minor	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	-	-	Bb major (III); G minor (i)	17–24	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski216.krn">216</a	    Bulgar	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G raised fourth (i)	9–19	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski217.krn">217</a	    Bulgar	G major	dance	Anonymous	transcription	-	-	-	-	Unknown	-	-	-		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski218.krn">218</a	    Khosid	G minor	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	A	Up M2	Bb major (III)	9–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski219.krn">219</a	    Khosid	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M3		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski220.krn">220</a	    Khosidl	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M4	Bb major (III); G minor (i); Bb major (III)	1–5; 6–10; 11–15	no	"The first section (mm. 1–5) mixes Bb major (III) and Bb raised fourth (iii). It is designated as Bb major because the raised fourth elements are brief, at the cadence. "
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski221.krn">221</a	    Khosid	G minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5	Bb major (III); G minor (i)	9–24	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski222.krn">222</a	    Khosid	G minor	dance	Knaifel	trasncription	Bass	Vinnitsa	1937	-	Vinnitsa	-	A	Up M2		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski223.krn">223</a	    Khosid	G major	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski224.krn">224</a	    Khosid	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5	Bb major (III); G minor (i)	11–23	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski225.krn">225</a	    Shtok	G minor	dance	"Gulerman, Z."	recording	Flute	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	Bb major (III); G minor (i)	5–8	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski226.krn">226</a	    Shtok	G major	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	D	Up P5		All major	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski227.krn">227</a	    Ange	G minor	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	A	Up M2	Bb major (III); G freygish (I)	5–17; 18–20	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski228.krn">228</a	    Ange	G major	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	-	-	C major (IV)	13–20	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski229.krn">229</a	    Ot azoy	G minor	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	D	Up P5	G freygish (I)	9–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski230.krn">230</a	    Lomir zikh iberbetn	G freygish	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	-	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	C minor (iv)	5–8	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski231.krn">231</a	    Broyges-tants	G freygish	dance	"Mesman, V."	transcription	-	-	1912	-	Unknown	-	-	-		All freygish	yes	"Much of the tune can be heard as F raised fourth, until the G cadences. We treat F raised fourth as a pre-cadential gesture (here extended) within G fregyish. "
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski232.krn">232</a	    Alter yidisher tants	G minor	dance	"Mesman, V."	transcription	-	-	1912	-	Unknown	-	-	-		All minor	yes	
